TIME;SEX;GEO;AGE;Value
2019;Male;11: Norte;31 anos;13
2019;Male;11: Norte;32 anos;15
2019;Male;11: Norte;33 anos;11
2019;Male;11: Norte;34 anos;15
2019;Male;11: Norte;35 anos;16
2019;Male;11: Norte;36 anos;17
2019;Male;11: Norte;37 anos;17
2019;Male;11: Norte;38 anos;22
2019;Male;11: Norte;39 anos;26
2019;Male;11: Norte;40 anos;25
2019;Male;11: Norte;41 anos;35
2019;Male;11: Norte;42 anos;25
2019;Male;11: Norte;43 anos;41
2019;Male;11: Norte;44 anos;54
2019;Male;11: Norte;45 anos;65
2019;Male;11: Norte;46 anos;72
2019;Male;11: Norte;47 anos;91
2019;Male;11: Norte;48 anos;87
2019;Male;11: Norte;49 anos;98
2019;Male;11: Norte;50 anos;99
2019;Male;11: Norte;51 anos;122
2019;Male;11: Norte;52 anos;129
2019;Male;11: Norte;53 anos;144
2019;Male;11: Norte;54 anos;168
2019;Male;11: Norte;55 anos;166
2019;Male;11: Norte;56 anos;169
2019;Male;11: Norte;57 anos;167
2019;Male;11: Norte;58 anos;206
2019;Male;11: Norte;59 anos;204
2019;Male;11: Norte;60 anos;185
2019;Male;11: Norte;61 anos;238
2019;Male;11: Norte;62 anos;254
2019;Male;11: Norte;63 anos;272
2019;Male;11: Norte;64 anos;289
2019;Male;11: Norte;65 anos;291
2019;Male;11: Norte;66 anos;307
2019;Male;11: Norte;67 anos;342
2019;Male;11: Norte;68 anos;303
2019;Male;11: Norte;69 anos;339
2019;Male;11: Norte;70 anos;368
2019;Male;11: Norte;71 anos;348
2019;Male;11: Norte;72 anos;360
2019;Male;11: Norte;73 anos;393
2019;Male;11: Norte;74 anos;419
2019;Male;11: Norte;75 anos;431
2019;Male;11: Norte;76 anos;410
2019;Male;11: Norte;77 anos;394
2019;Male;11: Norte;78 anos;402
2019;Male;11: Norte;79 anos;535
2019;Male;11: Norte;80 anos;558
2019;Male;11: Norte;81 anos;552
2019;Male;11: Norte;82 anos;587
2019;Male;11: Norte;83 anos;612
2019;Male;11: Norte;84 anos;657
2019;Male;11: Norte;85 anos;615
2019;Male;11: Norte;86 anos;631
2019;Male;11: Norte;87 anos;584
2019;Male;11: Norte;88 anos;546
2019;Male;11: Norte;89 anos;536
2019;Male;11: Norte;90 anos;540
2019;Male;11: Norte;91 anos;344
2019;Male;11: Norte;92 anos;355
2019;Male;11: Norte;93 anos;284
2019;Male;11: Norte;94 anos;264
2019;Male;11: Norte;95 anos;208
2019;Male;11: Norte;96 anos;150
2019;Male;11: Norte;97 anos;79
2019;Male;11: Norte;98 anos;72
2019;Male;11: Norte;99 anos;49
2019;Male;11: Norte;100 anos;24
2019;Male;11: Norte;101 anos;18
2019;Male;11: Norte;102 anos;12
2019;Male;11: Norte;103 anos;2
2019;Male;11: Norte;104 anos;4
2019;Male;11: Norte;105 anos;0
2019;Male;11: Norte;106 anos;1
2019;Male;11: Norte;107 anos;0
2019;Male;11: Norte;108 anos;0
2019;Male;11: Norte;109 anos;0
2019;Male;11: Norte;110 anos;0
2019;Male;11: Norte;111 anos;0
2019;Male;11: Norte;112 anos;0
2019;Male;11: Norte;113 anos;0
2019;Male;11: Norte;114 anos;0
2019;Male;11: Norte;115 anos;0
2019;Male;11: Norte;116 anos;0
2019;Male;11: Norte;117 anos;0
2019;Male;11: Norte;118 anos;0
2019;Male;11: Norte;119 anos;0
2019;Male;11: Norte;120 e mais anos;0
2019;Male;16: Centro;Menos de 1 ano;15
2019;Male;16: Centro;1 ano;4
2019;Male;16: Centro;2 anos;3
2019;Male;16: Centro;3 anos;1
2019;Male;16: Centro;4 anos;3
2019;Male;16: Centro;5 anos;0
2019;Male;16: Centro;6 anos;1
2019;Male;16: Centro;7 anos;2
2019;Male;16: Centro;8 anos;0
2019;Male;16: Centro;9 anos;0
2019;Male;16: Centro;10 anos;2
2019;Male;16: Centro;11 anos;0
2019;Male;16: Centro;12 anos;0
2019;Male;16: Centro;13 anos;3
2019;Male;16: Centro;14 anos;1
2019;Male;16: Centro;15 anos;2
2019;Male;16: Centro;16 anos;2
2019;Male;16: Centro;17 anos;2
2019;Male;16: Centro;18 anos;6
2019;Male;16: Centro;19 anos;9
2019;Male;16: Centro;20 anos;3
2019;Male;16: Centro;21 anos;3
2019;Male;16: Centro;22 anos;7
2019;Male;16: Centro;23 anos;3
2019;Male;16: Centro;24 anos;5
2019;Male;16: Centro;25 anos;6
2019;Male;16: Centro;26 anos;14
2019;Male;16: Centro;27 anos;4
2019;Male;16: Centro;28 anos;9
2019;Male;16: Centro;29 anos;8
2019;Male;16: Centro;30 anos;12
2019;Male;16: Centro;31 anos;8
2019;Male;16: Centro;32 anos;2
2019;Male;16: Centro;33 anos;11
2019;Male;16: Centro;34 anos;18
2019;Male;16: Centro;35 anos;10
2019;Male;16: Centro;36 anos;14
2019;Male;16: Centro;37 anos;14
2019;Male;16: Centro;38 anos;13
2019;Male;16: Centro;39 anos;13
2019;Male;16: Centro;40 anos;24
2019;Male;16: Centro;41 anos;20
2019;Male;16: Centro;42 anos;16
2019;Male;16: Centro;43 anos;31
2019;Male;16: Centro;44 anos;20
2019;Male;16: Centro;45 anos;42
2019;Male;16: Centro;46 anos;37
2019;Male;16: Centro;47 anos;36
2019;Male;16: Centro;48 anos;51
2019;Male;16: Centro;49 anos;40
2019;Male;16: Centro;50 anos;46
2019;Male;16: Centro;51 anos;69
2019;Male;16: Centro;52 anos;71
2019;Male;16: Centro;53 anos;98
2019;Male;16: Centro;54 anos;72
2019;Male;16: Centro;55 anos;100
2019;Male;16: Centro;56 anos;125
2019;Male;16: Centro;57 anos;108
2019;Male;16: Centro;58 anos;117
2019;Male;16: Centro;59 anos;128
2019;Male;16: Centro;60 anos;147
2019;Male;16: Centro;61 anos;130
2019;Male;16: Centro;62 anos;150
