"SEX","GEO","TIME","AGE","UNIT","Value","Flag and Footnotes"
"Males","Portugal","1991","10 years","Number","75,419",""
"Males","Portugal","1991","11 years","Number","77,159",""
"Males","Portugal","1991","12 years","Number","78,682",""
"Males","Portugal","1991","13 years","Number","83,565",""
"Males","Portugal","1991","14 years","Number","88,009",""
"Males","Portugal","1991","15 years","Number","89,836",""
"Males","Portugal","1991","16 years","Number","87,510",""
"Males","Portugal","1991","17 years","Number","85,741",""
"Males","Portugal","1991","18 years","Number","85,836",""
"Males","Portugal","1991","19 years","Number","83,802",""
"Males","Portugal","1991","20 years","Number","82,520",""
"Males","Portugal","1991","21 years","Number","79,096",""
"Males","Portugal","1991","22 years","Number","77,641",""
"Males","Portugal","1991","23 years","Number","76,086",""
"Males","Portugal","1991","24 years","Number","75,360",""
"Males","Portugal","1991","25 years","Number","74,386",""
"Males","Portugal","1991","26 years","Number","74,029",""
"Males","Portugal","1991","27 years","Number","72,645",""
"Males","Portugal","1991","28 years","Number","71,368",""
"Males","Portugal","1991","29 years","Number","70,893",""
"Males","Portugal","1991","30 years","Number","72,186",""
"Males","Portugal","1991","31 years","Number","69,367",""
"Males","Portugal","1991","32 years","Number","68,478",""
"Males","Portugal","1991","33 years","Number","69,243",""
"Males","Portugal","1991","34 years","Number","65,283",""
"Males","Portugal","1991","35 years","Number","66,710",""
"Males","Portugal","1991","36 years","Number","66,016",""
"Males","Portugal","1991","37 years","Number","63,454",""
"Males","Portugal","1991","38 years","Number","64,612",""
"Males","Portugal","1991","39 years","Number","64,353",""
"Males","Portugal","1991","40 years","Number","65,299",""
"Males","Portugal","1991","41 years","Number","63,991",""
"Males","Portugal","1991","42 years","Number","64,578",""
"Males","Portugal","1991","43 years","Number","59,988",""
"Males","Portugal","1991","44 years","Number","57,024",""
"Males","Portugal","1991","45 years","Number","60,238",""
"Males","Portugal","1991","46 years","Number","56,343",""
"Males","Portugal","1991","47 years","Number","54,968",""
"Males","Portugal","1991","48 years","Number","53,242",""
"Males","Portugal","1991","49 years","Number","49,718",""
"Males","Portugal","1991","50 years","Number","52,279",""
"Males","Portugal","1991","51 years","Number","53,843",""
"Males","Portugal","1991","52 years","Number","54,580",""
"Males","Portugal","1991","53 years","Number","53,517",""
"Males","Portugal","1991","54 years","Number","54,188",""
"Males","Portugal","1991","55 years","Number","55,521",""
"Males","Portugal","1991","56 years","Number","52,174",""
"Males","Portugal","1991","57 years","Number","52,203",""
"Males","Portugal","1991","58 years","Number","53,276",""
"Males","Portugal","1991","59 years","Number","52,848",""
"Males","Portugal","1991","60 years","Number","52,895",""
"Males","Portugal","1991","61 years","Number","49,706",""
"Males","Portugal","1991","62 years","Number","49,939",""
"Males","Portugal","1991","63 years","Number","46,789",""
"Males","Portugal","1991","64 years","Number","48,389",""
"Males","Portugal","1991","65 years","Number","46,758",""
"Males","Portugal","1991","66 years","Number","45,430",""
"Males","Portugal","1991","67 years","Number","42,890",""
"Males","Portugal","1991","68 years","Number","40,333",""
"Males","Portugal","1991","69 years","Number","38,800",""
"Males","Portugal","1991","70 years","Number","37,995",""
"Males","Portugal","1991","71 years","Number","31,898",""
"Males","Portugal","1991","72 years","Number","27,281",""
"Males","Portugal","1991","73 years","Number","27,435",""
"Males","Portugal","1991","74 years","Number","26,176",""
"Males","Portugal","1991","75 years","Number","25,244",""
"Males","Portugal","1991","76 years","Number","24,392",""
"Males","Portugal","1991","77 years","Number","22,246",""
"Males","Portugal","1991","78 years","Number","20,493",""
"Males","Portugal","1991","79 years","Number","18,588",""
"Males","Portugal","1991","80 years","Number","17,215",""
"Males","Portugal","1991","81 years","Number","14,117",""
"Males","Portugal","1991","82 years","Number","11,314",""
"Males","Portugal","1991","83 years","Number","9,813",""
"Males","Portugal","1991","84 years","Number","7,937",""
"Males","Portugal","1991","85 years","Number",":",""
"Males","Portugal","1991","86 years","Number",":",""
"Males","Portugal","1991","87 years","Number",":",""
"Males","Portugal","1991","88 years","Number",":",""
"Males","Portugal","1991","89 years","Number",":",""
"Males","Portugal","1991","90 years","Number",":",""
"Males","Portugal","1991","91 years","Number",":",""
"Males","Portugal","1991","92 years","Number",":",""
"Males","Portugal","1991","93 years","Number",":",""
"Males","Portugal","1991","94 years","Number",":",""
"Males","Portugal","1991","95 years","Number",":",""
"Males","Portugal","1991","96 years","Number",":",""
"Males","Portugal","1991","97 years","Number",":",""
"Males","Portugal","1991","98 years","Number",":",""
"Males","Portugal","1991","99 years","Number",":",""
"Males","Portugal","1991","Open-ended age class","Number","27,012",""
"Males","Portugal","1992","Less than 1 year","Number","58,804",""
"Males","Portugal","1992","1 year","Number","55,564",""
"Males","Portugal","1992","2 years","Number","56,673",""
"Males","Portugal","1992","3 years","Number","54,524",""
"Males","Portugal","1992","4 years","Number","56,098",""
"Males","Portugal","1992","5 years","Number","57,627",""
"Males","Portugal","1992","6 years","Number","61,095",""
"Males","Portugal","1992","7 years","Number","64,563",""
"Males","Portugal","1992","8 years","Number","66,924",""
"Males","Portugal","1992","9 years","Number","69,834",""
"Males","Portugal","1992","10 years","Number","71,365",""
"Males","Portugal","1992","11 years","Number","75,033",""
"Males","Portugal","1992","12 years","Number","76,455",""
"Males","Portugal","1992","13 years","Number","78,051",""
"Males","Portugal","1992","14 years","Number","82,916",""
"Males","Portugal","1992","15 years","Number","87,089",""
"Males","Portugal","1992","16 years","Number","88,662",""
"Males","Portugal","1992","17 years","Number","86,389",""
"Males","Portugal","1992","18 years","Number","84,419",""
"Males","Portugal","1992","19 years","Number","84,483",""
"Males","Portugal","1992","20 years","Number","82,540",""
"Males","Portugal","1992","21 years","Number","81,114",""
"Males","Portugal","1992","22 years","Number","77,815",""
"Males","Portugal","1992","23 years","Number","76,510",""
"Males","Portugal","1992","24 years","Number","75,035",""
